"Name","Address","Signal Level","Channel","Security","WPS Support","Time","Longitude","Latitude"
"WiFi-2.4-1700","40:c7:29:68:17:06","-72","1","WPA2","WPS","2021-07-30 17:00:21","4.02017651","50.6891593"
"VOO-550172","a0:21:b7:e2:ce:a7","-74","1","WPA2","WPS","2021-07-30 17:00:21","4.02017651","50.6891593"
"WiFi-2.4-C6D5","9c:97:26:40:c6:d5","-75","7","WPA2","WPS","2021-07-30 17:00:21","4.02017651","50.6891593"
"VOO-550172","a0:21:b7:e2:ce:a7","-66","1","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"Proximus-Home-F890","22:b0:01:e9:dc:d1","-78","10","WPA2","WPS","2021-07-30 17:00:21","4.02017651","50.6891593"
"VOO_HOMESPOT","a2:21:b7:e2:ce:a8","-68","1","NONE","NO","2021-07-30 17:00:27","4.02046153","50.6892078"
"Proximus-Home-F890","20:b0:01:e9:dc:c9","-87","44","WPA2","WPS","2021-07-30 17:00:21","4.02017651","50.6891593"
"Proximus-Home-F890","84:1e:a3:40:f8:96","-72","13","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"NETGEAR99","a0:04:60:d7:6e:7a","-79","1","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"Proximus-Home-F890","84:1e:a3:40:f8:97","-79","44","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"DIRECT-FC-HP ENVY 7640 series","d0:bf:9c:29:02:fd","-79","13","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"OOC-GUEST","f6:9f:c2:7e:1b:85","-82","36","WPA2","NO","2021-07-30 17:00:27","4.02046153","50.6892078"
"OOC","f0:9f:c2:7e:1b:85","-83","36","WPA2","NO","2021-07-30 17:00:27","4.02046153","50.6892078"
"VOO-359335","c0:3f:0e:f2:19:b4","-83","11","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"VOO_HOMESPOT","c2:3f:0e:f2:19:b5","-85","11","NONE","NO","2021-07-30 17:00:27","4.02046153","50.6892078"
"Empty","fa:9f:c2:7e:1b:85","-84","36","WPA2","NO","2021-07-30 17:00:27","4.02046153","50.6892078"
"Empty","9c:c9:eb:ce:29:08","-87","108","WPA2","NO","2021-07-30 17:00:27","4.02046153","50.6892078"
"ORBI51","a2:c9:eb:ce:29:08","-86","108","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"DIRECT-E6-HP OfficeJet 6950","00:68:eb:4a:0a:e7","-87","13","WPA2","WPS","2021-07-30 17:00:27","4.02046153","50.6892078"
"NETGEAR99","a0:04:60:d7:6e:7a","-67","1","WPA2","WPS","2021-07-30 17:00:30","4.02058297","50.68926132"
"OOC","f0:9f:c2:7d:1b:85","-68","1","WPA2","NO","2021-07-30 17:00:30","4.02058297","50.68926132"
"OOC-GUEST","f6:9f:c2:7d:1b:85","-68","1","WPA2","NO","2021-07-30 17:00:30","4.02058297","50.68926132"
"dcK?h*0pXO","62:f9:7b:0a:6e:bb","-28","4","NONE","NO","2023-08-01 17:34:13","4.022921289183351","50.69180253072953"
